,Accounts Receivable Turnover,Debt/Equity,Accounts Payable Turnover,Average Payables,Capex to Sales,Inventory Turnover,ROIC,Working Capital,Book value per Share,P/E ratio,Average Receivables,Price to Tangible BV,Average Inventory,P/FCF ratio,Average Common Equity,P/S ratio,Average Assets,Capital Expenditures,Average Days of Payables,EV/Sales,P/B ratio,ROE,Free Cash Flow,Average Days of Receivables,Interest Debt per Share,Capex/Depreciation,Net Profit Margin,Earnings Yield,"Selling, General and Administrative Expense of Revenue",Return on Tangible Assets,Intangible Assets out of Total Assets,Interest Coverage,Days of Inventory on Hand,Net Current Asset Value,Free Cash Flow per Share,Net Debt/EBITDA,EV/FCF,EV/EBIT,ROA,Current Ratio,Free Cash Flow Yield,Asset Turnover,Cash ROIC,Graham Net Nets,EV/Operating CF,Operating CF/Net income,Quick Ratio,Graham Number,Depreciation/Fixed assets,Share Based Compensation of Revenue,Shareholders Equity per Share,Cash per Share,Capex per Share,P/Operating CF,Revenue per Share,EV/EBITDA,Operating CF per Share,Debt/Assets,Research and Development Expense of Revenue,year,ticker
2,7.0418,0.2089,4.5836,6232600.0,0.043,0.0,0.0414,32102200.0,5.3796,29.4375,7799200.0,1.1181,,5.4287,63671300.0,0.9862,87539700.0,-2363100.0,85.5529,0.6078,0.8755,0.0279,13362800.0,27.8074,1.1238,-0.5973,0.0324,0.034,0.4004,0.0402,0.155,0.0,0.0,30838100.0,1.162,-3.1123,3.3458,12.2693,0.0203,2.3674,0.1842,0.6274,0.0335,0.5693,2.1228,8.8432,1.6139,4.4008,0.3272,0.0062,5.3796,2.9309,-0.2055,10.1459,4.7757,4.9996,1.3675,0.1492,0.0123,2021,NTWK
3,4.1736,0.1801,4.4405,6622900.0,0.0225,0.0,0.0117,31779600.0,5.5798,33.75,13506800.0,0.6265,,0.0,65980600.0,0.562,87985050.0,-1271000.0,71.6025,0.4135,0.4839,0.0142,2701400.0,73.9054,1.0048,-0.3406,0.0166,0.0296,0.4185,0.0217,0.1685,0.0,0.0,28899600.0,0.2302,-1.744,-34.0866,21.7774,0.0107,2.5798,-0.0216,0.6407,-0.0755,0.9121,5.8676,4.239,1.5699,3.1692,0.3294,0.0143,5.5798,1.7186,-0.1083,8.8967,4.8039,4.8537,0.3385,0.1333,0.0261,2020,NTWK
4,4.2722,0.1124,4.2908,7675200.0,0.0229,0.0,0.0754,30493600.0,5.7319,7.8378,15874500.0,1.3554,,0.0,71710150.0,0.992,93635650.0,-1555700.0,82.865,0.7719,1.0119,0.1197,3377500.0,83.9548,0.644,-0.3517,0.1266,0.1276,0.3714,0.2015,0.1926,0.0,0.0,29929000.0,0.2912,-0.8795,-6798.3506,7.6667,0.0917,2.4913,-0.0001,0.7243,-0.0784,0.4449,10.6112,0.5747,1.6122,9.7691,0.3657,0.0167,5.7319,1.4972,-0.1341,12.9658,5.847,4.6524,0.4253,0.0854,0.0291,2019,NTWK
5,4.9988,0.116,4.3003,7377000.0,0.0247,0.0,0.0299,34843300.0,6.8711,14.2308,12188900.0,1.1264,,5.7418,77564850.0,1.0199,99725800.0,-1506200.0,90.5939,0.6936,0.8077,0.0555,14208100.0,96.744,0.7972,-0.2702,0.0707,0.0703,0.3994,0.0844,0.2181,0.0,0.0,34512700.0,1.2689,-1.5255,3.9047,13.8335,0.0432,2.5481,0.1742,0.611,-0.0042,0.5554,2.6893,3.6486,1.6989,7.7649,0.3448,0.0305,6.8711,1.9728,-0.1345,4.6161,5.4417,4.8978,1.4034,0.0895,0.014,2018,NTWK
6,5.5371,0.1354,5.7554,6421500.0,0.0218,0.0,-0.0084,23155100.0,7.1658,0.0,11805250.0,0.8348,,0.0,77917450.0,0.6594,96513350.0,-1422200.0,67.9488,0.4769,0.5512,-0.0639,-967800.0,45.945,0.9705,-0.2167,-0.0762,-0.1215,0.4053,-0.1144,0.2665,0.0,0.0,22788300.0,-0.0887,-0.6444,-7.1608,0.0,-0.0516,2.0965,-0.101,0.6773,-0.1934,0.5287,68.5984,-0.0913,1.0608,0.0,0.3221,0.0386,7.1658,1.2988,-0.1303,17.4292,5.9903,5.6051,0.0416,0.1062,0.006,2017,NTWK
7,5.0918,0.0633,5.6647,5957700.0,0.0364,0.0,0.0555,25221400.0,7.472,18.25,12677300.0,1.2525,,0.0,75640800.0,0.9401,91155850.0,-2349500.0,64.4893,0.7975,0.7816,0.045,-690500.0,86.98,0.4733,-0.3285,0.0527,0.0548,0.3494,0.0709,0.3127,0.0,0.0,24743700.0,-0.0665,-0.4935,-12.6306,8.169,0.0373,2.656,-0.0672,0.7081,-0.2244,0.4078,31.0299,0.4875,1.7688,7.3347,0.314,0.0196,7.472,1.1123,-0.2261,114.8872,6.2121,3.8263,0.1597,0.0527,0.0075,2016,NTWK
8,5.7983,0.0066,6.0052,5593750.0,0.0481,0.0,-0.0538,16444900.0,7.5699,0.0,8804000.0,1.2128,,0.0,76199000.0,0.9814,91932800.0,-2456100.0,64.68,0.7501,0.6803,-0.0728,2622200.0,71.3017,0.0501,-0.2374,-0.1087,-0.1126,0.3977,-0.1335,0.3634,0.0,0.0,15957400.0,0.2696,-2.6422,-50.1869,0.0,-0.0604,2.1086,-0.0152,0.5553,-0.227,0.3185,7.5404,-0.9152,1.6274,0.0,0.4118,0.0269,7.5699,1.4565,-0.2525,19.9439,5.2476,7.3952,0.522,0.0055,0.0062,2015,NTWK
9,3.2603,0.0195,5.9858,4631000.0,0.4544,0.0,-0.1234,12249100.0,8.69,0.0,11160000.0,0.8696,,16.7274,84089750.0,0.9665,98803700.0,-16532700.0,68.9292,0.6756,0.4465,-0.135,2102200.0,76.5998,0.169,-1.8936,-0.3121,-0.317,0.5392,-0.2706,0.4038,0.0,0.0,10717000.0,0.232,2.8583,11.6925,0.0,-0.1149,1.8382,0.0598,0.3683,-0.1176,0.3048,1.319,-1.641,1.48,0.0,0.2938,0.0296,8.69,1.5438,-1.8242,10.6301,4.0147,0.0,2.0562,0.0161,0.0069,2014,NTWK
0,10.6418,0.0,3.9822,1012000.0,0.0002,0.8798,0.1572,10981000.0,2.6907,6.463,791500.0,1.2971,4580500.0,12.4285,15260500.0,2.4848,17129500.0,-2000.0,19.1104,1.7027,1.2971,0.2102,1689000.0,29.5969,0.0,-0.0148,0.3809,0.1547,0.2562,0.2307,0.0,0.0,353.2258,10981000.0,0.2816,-3.0595,8.5163,6.4168,0.1873,11.97,0.0805,0.4917,-0.0526,0.5247,8.4811,0.5271,7.9261,5.7177,0.0462,0.0027,2.6907,1.2091,-0.0003,15.5726,1.4045,6.0513,0.282,0.0,0.0,2022,TAIT
1,11.232,0.0,4.0684,1111500.0,0.0021,1.0302,0.191,11137000.0,2.4636,11.5143,769500.0,1.6358,4389500.0,13.6571,13813500.0,2.7226,15691500.0,-18000.0,146.339,1.9269,1.6358,0.1455,1723000.0,38.0076,0.0,-0.1,0.2326,0.0868,0.2348,0.1416,0.0,0.0,424.6495,11137000.0,0.2951,-3.3187,9.6658,7.9609,0.1281,5.0691,0.0732,0.5508,-0.0599,0.4733,9.5659,0.8662,3.0837,4.4046,0.0589,0.0034,2.4636,1.2913,-0.0031,97.6397,1.4802,7.3302,0.2982,0.0,0.0,2021,TAIT
2,8.0626,0.0123,7.8326,436000.0,0.0025,0.9612,0.0975,9999000.0,2.2839,13.5417,830500.0,1.423,3553000.0,9.2824,13028500.0,2.8141,13930000.0,-17000.0,43.8214,1.9197,1.423,0.1043,2035000.0,34.832,0.0281,-0.0914,0.203,0.0738,0.3326,0.1028,0.0,0.0,376.0088,9836000.0,0.351,-5.2331,6.3321,12.1956,0.0976,12.6811,0.1077,0.4807,-0.0581,0.522,6.2642,1.5099,8.5175,3.5119,0.0578,0.004,2.2839,1.1473,-0.0029,32.2106,1.1549,10.3663,0.3539,0.0114,0.0,2020,TAIT
3,7.0546,0.0,5.1702,717000.0,-0.027,0.9058,0.0582,9224000.0,2.2387,20.2857,961500.0,1.2686,4092500.0,10.1859,12756500.0,2.3967,13790000.0,183000.0,45.4896,1.7608,1.2686,0.0606,1596000.0,54.9948,0.0,1.0281,0.114,0.0493,0.3506,0.0613,0.0,0.0,353.283,9224000.0,0.2788,-6.0651,7.4835,17.1114,0.0561,12.7653,0.0982,0.4919,-0.1088,0.5674,8.4527,1.8279,8.0804,2.6556,0.0526,0.0031,2.2387,0.9282,0.032,29.2914,1.185,13.6344,0.2468,0.0,0.0,2019,TAIT
4,8.7515,0.0,5.0593,910000.0,0.0006,0.9605,0.1081,8776000.0,2.2685,7.2083,939500.0,0.7626,4793500.0,4.2399,12279500.0,1.1778,13774000.0,-5000.0,77.0591,0.7528,0.7626,0.1122,2289000.0,39.9982,0.0,-0.0311,0.1676,0.1387,0.2675,0.1104,0.0,0.0,364.445,8776000.0,0.4089,-2.8443,2.7101,4.3621,0.1,7.8402,0.2359,0.5969,-0.0824,0.9063,2.6983,1.6647,4.205,3.5,0.0434,0.001,2.2685,0.8028,-0.0009,10.9422,1.4688,3.9176,0.4098,0.0,0.0,2018,TAIT
5,12.5879,0.0422,5.4217,852500.0,0.0049,0.9203,0.0543,8092000.0,2.1367,11.7857,605500.0,0.7722,5022500.0,26.0944,11774000.0,1.2017,13724500.0,-37000.0,66.9667,0.9065,0.7722,0.0595,351000.0,46.8342,0.0901,-0.1823,0.092,0.0848,0.2898,0.0586,0.0,0.0,394.061,7592000.0,0.0632,-2.7666,19.6842,8.7347,0.0511,7.7098,0.0383,0.5554,-0.2228,0.8289,17.8071,0.5535,3.5058,2.5944,0.0525,0.0004,2.1367,0.5855,-0.0067,46.2583,1.3731,6.9509,0.0699,0.0369,0.0,2017,TAIT
6,26.3931,0.0856,8.0833,948000.0,0.0006,1.0893,-0.2071,8184000.0,2.1099,0.0,262000.0,0.5735,7035000.0,5.3919,13446500.0,0.9692,15965500.0,-4000.0,40.8202,0.6051,0.5735,-0.2314,1243000.0,12.2986,0.1805,-0.0229,-0.4499,-0.4628,0.3072,-0.2547,0.0,0.0,240.7771,7184000.0,0.2244,1.119,3.3662,0.0,-0.1949,7.8485,0.1855,0.4331,-0.1667,1.0719,3.3554,-0.4008,3.5573,0.0,0.0434,0.0001,2.1099,0.7254,-0.0007,13.734,1.2484,0.0,0.2251,0.072,0.0,2016,TAIT
7,13.7552,0.0986,5.4523,717500.0,0.0065,0.4471,-0.0163,11315000.0,2.7453,0.0,412500.0,0.357,8750500.0,23.4988,15498000.0,0.9567,17987500.0,-37000.0,96.9415,0.5704,0.357,-0.0379,237000.0,18.7196,0.2708,-0.2387,-0.1035,-0.1122,0.3703,-0.0378,0.0,0.0,841.1235,10315000.0,0.0428,11.913,14.0096,0.0,-0.0326,7.1394,0.0426,0.3154,-0.1926,1.9003,11.811,-0.4668,2.1612,0.0,0.0369,0.0042,2.7453,0.6665,-0.0067,18.6537,1.0244,0.0,0.0495,0.0831,0.0,2015,TAIT
8,11.1464,0.095,9.0166,482000.0,0.0024,0.4664,-0.0298,11481000.0,2.8502,0.0,522500.0,0.3473,9318500.0,5.7491,16333500.0,0.9417,18579500.0,-14000.0,33.2582,0.6035,0.3473,-0.069,965000.0,33.4667,0.2708,-0.0903,-0.1935,-0.1717,0.3668,-0.0713,0.0,0.0,712.699,10481000.0,0.1742,3.9165,3.6841,0.0,-0.0607,11.1065,0.1739,0.3135,-0.161,1.911,3.59,-0.8687,3.5246,0.0,0.0359,0.0039,2.8502,0.6264,-0.0025,13.3121,1.0513,0.0,0.1767,0.0837,0.0,2014,TAIT
9,9.1906,0.0889,7.8657,618000.0,0.0032,0.46,-0.0369,12639000.0,3.0464,0.0,682000.0,0.3447,10568500.0,14.9923,17344000.0,0.928,19820000.0,-20000.0,42.6497,0.9721,0.3447,-0.0538,392000.0,29.7567,0.2708,-0.1064,-0.1489,-0.1619,0.3719,-0.0546,0.0,0.0,762.2125,11139000.0,0.0708,1.663,15.7036,0.0,-0.0471,15.7652,0.0667,0.3162,-0.1919,1.9149,14.7888,-0.4416,3.7792,0.0,0.0421,0.0041,3.0464,0.4917,-0.0036,51.4779,1.1314,0.0,0.0744,0.078,0.0,2013,TAIT
0,22.6431,0.5132,2.3401,7144000.0,0.0124,6.1736,-0.5165,-8714000.0,0.2514,0.0,962500.0,0.0,2708000.0,0.0,45079000.0,3.6788,76425500.0,-271000.0,168.0904,4.175,3.2224,-1.129,-27098000.0,16.0443,0.129,-0.0876,-2.3352,-0.6296,1.2099,5.9925,0.6134,0.0,60.6951,-13091000.0,-0.2738,-0.4096,-3.3578,0.0,-0.6659,0.6593,-0.338,0.2852,-0.6829,-0.1633,-3.3917,0.5271,0.1139,0.0,14.0045,0.1381,0.2514,0.0198,-0.0027,-20.2719,0.2202,0.0,-0.271,0.2329,0.2821,2022,PHUN
1,13.0509,0.0927,0.9342,7525500.0,0.0,0.0,-0.2185,29714000.0,0.8652,0.0,815500.0,6.8888,0.0,0.0,31646000.0,18.6438,64926000.0,0.0,342.1031,17.0384,3.0397,-1.6913,-22514000.0,33.1631,0.0802,0.0,-5.0288,-0.2662,1.5295,-1.8012,0.3721,0.0,136.862,27268000.0,-0.2984,1.229,-8.0481,0.0,-0.8244,1.9809,-0.1136,0.1639,-0.2383,0.1374,-8.0545,0.4206,0.7957,0.0,0.0,0.4642,0.8652,0.3067,0.0,-57.9345,0.1411,0.0,-0.2984,0.0617,0.3927,2021,PHUN
2,8.5662,-4.2405,0.3606,9310500.0,0.0,0.0,-4.4223,-21555000.0,-0.0447,0.0,1167500.0,0.0,0.0,0.0,1020500.0,5.5773,30444000.0,0.0,920.0566,6.0225,0.0,-21.7531,-10973000.0,24.2336,0.1896,0.0,-2.2197,-0.3889,1.7012,1.0305,0.817,0.0,0.0,-28907000.0,-0.2479,-0.2907,-5.48,0.0,-0.7292,0.1855,-0.197,0.3285,-1.0611,-0.5182,-5.489,0.4943,0.174,0.7031,168.0769,0.4492,-0.0447,0.089,0.0,-12.5121,0.2259,0.0,-0.2479,0.2636,0.2628,2020,PHUN
3,7.2579,0.2745,0.8998,10024500.0,0.0009,0.0,-1.585,-17518000.0,0.1092,0.0,2638500.0,0.0,0.0,0.0,4926500.0,2.2917,32966500.0,-18000.0,411.0904,2.335,10.9006,-2.6126,-6205000.0,31.8493,0.03,-0.055,-0.6721,-0.3025,0.9456,0.7357,0.8987,0.0,0.0,-22711000.0,-0.1683,-0.0692,-7.2063,0.0,-0.3904,0.1167,-0.1414,0.5809,-1.1487,-0.5175,-7.2273,0.4807,0.0982,0.0,13.625,0.0932,0.1092,0.0075,-0.0005,-152.382,0.5193,0.0,-0.1678,0.038,0.2263,2019,PHUN
4,11.7048,0.0,2.2125,5334300.0,0.0,0.0,-0.8608,-15252000.0,0.228,0.0,2638500.0,0.0,0.0,0.0,5413500.0,11.8003,28302650.0,0.0,305.8676,11.773,62.5414,-1.8108,-6592000.0,42.6186,0.0,0.0,-0.3174,-0.0189,0.6145,0.6455,0.7142,0.0,0.0,-26332000.0,-0.2579,0.1313,-28.096,150.254,-0.3464,0.2364,-0.0355,1.0912,-0.9981,-0.0723,-28.096,0.6724,0.2228,0.0,6.5758,0.0146,0.228,0.033,0.0,-56.5672,1.2084,0.0,-0.2579,0.0,0.2255,2018,PHUN
5,0.0,0.0,0.0,451750.0,0.0,0.0,-0.2104,-2581300.0,1.7637,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,45537100.0,0.0,0.0,0.0,0.0,-0.1846,-1043400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3576,0.0,0.0,0.0,-14706000.0,-0.368,0.0001,0.0,0.0,-0.0203,0.007,0.0,0.0,-0.2087,0.0,0.0,1.1302,0.0,0.0,0.0,0.0,1.7637,0.0,0.0,0.0,0.0,0.0,-0.368,0.0,0.0,2018,PHUN
6,0.0,0.0,0.0,74850.0,0.0,0.0,-0.1104,-607600.0,1.8268,0.0,0.0,0.0,0.0,0.0,5000000.0,0.0,71157800.0,0.0,0.0,0.0,0.0,-0.0615,-759700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5058,0.0,0.0,0.0,-66215800.0,-0.2776,0.1359,0.0,0.0,-0.0043,0.1808,0.0,0.0,-0.1485,0.0,0.0,2.4722,0.158,0.0,0.0,0.0,1.8268,0.0428,0.0,0.0,0.0,0.0,-0.2776,0.0,0.0,2017,PHUN
7,0.0,0.0,0.0,74850.0,0.0,0.0,-0.0203,472800.0,2.3878,0.0,0.0,0.0,0.0,0.0,2454900.0,0.0,70965700.0,0.0,0.0,0.0,0.0,-0.0367,-72200.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1908,0.0,0.0,0.0,-65442600.0,-0.0345,3.3486,0.0,0.0,-0.0013,10.3996,0.0,0.0,-0.0131,0.0,0.0,0.8004,9.7594,0.0,0.0,0.0,2.3878,0.2344,0.0,0.0,0.0,0.0,-0.0345,0.0,0.0,2016,PHUN
8,0.0,0.0,0.0,0.0,0.0,0.0,-0.0203,472800.0,0.0,0.0,0.0,0.0,0.0,0.0,2454900.0,0.0,35482850.0,0.0,0.0,0.0,0.0,-0.0367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1908,0.0,0.0,0.0,-65442600.0,0.0,3.3486,0.0,0.0,-0.0025,10.3996,0.0,0.0,0.0,0.0,0.0,0.0,9.7594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,PHUN
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35482850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,PHUN
0,7.7431,2.757,5.8208,28008500.0,0.0466,6.243,-0.3147,-107741000.0,0.6741,0.0,22926000.0,2.2968,26114500.0,0.0,21911000.0,0.1344,229587500.0,-8267000.0,68.071,0.3541,1.3351,-1.5253,-24233000.0,47.3383,1.8584,-1.0169,-0.1883,-1.4,0.2286,0.505,0.0324,0.0,64.8964,-131267000.0,-0.914,-1.9021,-2.5939,0.0,-0.1456,0.432,-1.0156,0.7732,-0.743,-5.5012,-3.937,0.4777,0.1755,0.0,0.1956,0.0174,0.6741,0.3876,-0.3118,-7.9592,6.6955,0.0,-0.6022,0.2132,0.0,2022,SPI
1,8.0827,2.3662,7.4634,20282000.0,0.0575,7.4748,-0.3729,-89771000.0,1.0726,0.0,20042000.0,4.9564,20251000.0,0.0,37168000.0,0.4465,222556500.0,-9319000.0,61.7572,0.6691,3.3656,-1.2239,-36803000.0,51.4379,2.538,-0.9725,-0.2808,-0.5845,0.3047,0.8421,0.0365,0.0,56.0426,-118063000.0,-1.5212,-1.3658,-2.8113,0.0,-0.2044,0.4836,-0.5331,0.7279,-0.6011,-1.3518,-3.5242,0.6042,0.234,0.0,0.2681,0.0357,1.0726,0.7376,-0.3852,-17.3839,6.6959,0.0,-1.136,0.2692,0.0,2021,SPI
2,8.1671,1.454,7.033,17314500.0,0.0014,7.8459,0.0007,-72245000.0,3.0418,0.0,16974000.0,4.4309,15520500.0,0.0,21455500.0,0.7453,197943000.0,-195000.0,44.8168,0.8169,3.643,-0.3037,-5845000.0,45.4315,4.4229,-0.0485,-0.047,-0.1863,0.113,0.1652,0.0396,0.0,51.7348,-89332000.0,-0.3674,7.4351,-19.9705,0.0,-0.0329,0.5233,-0.0549,0.7003,-0.2426,-0.5068,-46.6138,0.8672,0.3763,0.0,0.1226,0.0023,3.0418,2.5009,-0.0123,-31.1979,8.7149,0.0,-0.3552,0.3242,0.0,2020,SPI
3,4.3983,-11.3143,5.0347,18013500.0,0.047,7.0614,-0.2241,-115066000.0,-0.43,0.0,22254500.0,0.0,12843500.0,0.0,-2702500.0,0.1217,183790500.0,-4596000.0,79.1914,0.3855,0.0,5.6459,-7467000.0,62.2472,4.865,-1.3982,-0.1559,-5.2366,0.1794,0.1832,0.012,0.0,55.4625,-127839000.0,-0.5864,-3.7108,-1.0159,0.0,-0.083,0.3293,-3.1177,0.5326,-0.5827,-4.7008,-1.8921,0.1882,0.1148,9.0588,0.1034,0.0084,-0.43,0.2358,-0.3609,-9.4724,7.6873,0.0,-0.2255,0.3464,0.0,2019,SPI
4,6.301,881.0571,6.4678,17707000.0,0.0007,8.2552,-0.0323,-92648000.0,0.0096,0.0,19930500.0,0.0,13873000.0,0.0,-48787000.0,0.0,253019500.0,-89000.0,52.1087,0.0,133.8752,0.2517,7921000.0,80.8463,8.4927,-0.0261,-0.0978,-9.9299,0.1155,0.1718,0.013,0.0,37.9453,-114775000.0,1.0907,123.539,-0.2605,0.0,-0.0485,0.4437,-27.2162,0.4963,-0.1981,-12.2475,-0.3353,-0.6522,0.1946,0.0,0.1614,0.0217,0.0096,0.6333,-0.0123,1.1699,17.293,0.0,1.103,0.3268,0.0,2018,SPI
5,4.2124,-0.5964,2.3938,46548000.0,0.0025,7.9291,0.0,-254994000.0,-14.3035,0.0,28848500.0,0.0,14053000.0,0.0,-55286000.0,0.0,339564500.0,-298000.0,62.4471,0.0,0.0,1.6474,-11938000.0,36.1786,8.5299,-0.0682,-0.7495,-74.7154,0.1394,0.3933,0.0094,0.0,51.8864,-283643000.0,-1.7487,-11.3917,-0.2128,0.0,-0.2682,0.3399,0.0,0.3579,0.9432,0.0,-0.2714,0.1278,0.0371,0.0,0.1867,0.0097,-14.3035,0.3331,-0.0437,0.0,17.801,0.0,-1.7051,0.1835,0.0,2017,SPI
6,2.3054,-7.0928,1.3711,88481500.0,0.2465,6.1407,-1.9078,-176195000.0,-2.015,0.0,60812000.0,0.0,19755500.0,0.0,101815000.0,0.0,535694000.0,-34558000.0,222.7435,0.0,0.0,-2.1676,-81588000.0,118.8523,14.2918,-6.5725,-1.5742,-18.5561,0.4528,4.4848,0.0081,0.0,36.9053,-220413000.0,-12.7163,-0.4028,0.0,0.0,-0.412,0.4669,0.0,0.2617,-1.8914,0.0,0.0,0.2131,0.1782,0.0,0.0414,0.0138,-2.015,2.0631,-5.3862,0.0,21.8515,0.0,-7.3301,0.2534,0.0,2016,SPI
7,3.8633,1.2148,1.7058,106929500.0,0.1166,10.6605,-0.3266,-79982000.0,353.8529,0.0,49313000.0,0.0,17110000.0,0.0,239333000.0,0.0,648738500.0,-22212000.0,205.9737,0.0,0.0,-0.7721,-177730000.0,145.5555,429.8497,-4.0036,-0.97,-0.0181,0.6098,-4.0339,0.1134,0.0,54.5196,-99443000.0,-290.4085,-0.616,0.0,0.0,-0.2849,0.8311,0.0,0.2937,-0.4362,0.0,0.0,0.8416,0.5095,0.0,0.0441,0.2005,353.8529,270.1225,-36.2941,0.0,311.2908,0.0,-254.1144,0.3707,0.0,2015,SPI
8,1.8584,0.1628,0.7433,106929500.0,0.0016,4.6455,0.0234,129005000.0,853.772,0.0,49313000.0,0.0,17110000.0,0.0,239333000.0,0.0,648738500.0,-146000.0,509.3882,0.0,0.0,-0.0217,-56602000.0,90.2284,138.9805,-0.0794,-0.0567,-0.0181,0.1057,-0.0221,0.1133,0.0,32.0296,55515000.0,-184.3713,-22.2865,0.0,0.0,-0.008,1.5113,0.0,0.1413,-0.3331,0.0,0.0,10.8653,0.82,0.0,0.0173,0.0039,853.772,600.101,-0.4756,0.0,298.5081,0.0,-183.8958,0.0726,0.0,2014,SPI
0,8.1094,0.0833,6.938,2275500.0,0.0053,0.0,-0.2761,10855400.0,2.7966,0.0,2943600.0,0.8088,,19.1951,20780950.0,0.4314,25210500.0,-127300.0,74.1583,0.0243,0.5435,-0.2097,536500.0,53.5601,0.233,-0.0359,-0.1825,-0.4013,0.4121,-0.3334,0.258,0.0,0.0,10246200.0,0.0792,18.4039,1.0793,0.0,-0.1728,3.3964,0.0521,0.9469,-0.0486,0.995,0.8723,-0.1524,3.2674,0.0,1.6041,0.0308,2.7966,1.6675,-0.0188,19.8768,3.5233,0.0,0.098,0.0655,0.0,2022,DTST
1,10.1233,0.0789,7.2829,1161500.0,0.0306,0.0,-0.0391,12084800.0,4.4555,102.0,1469500.0,1.1255,,0.0,12267150.0,1.0441,17043450.0,-455800.0,57.9661,0.3482,0.6868,0.0166,-816500.0,58.5032,0.3514,-0.3549,0.0137,0.0098,0.4829,0.0146,0.3347,0.0,0.0,11336400.0,-0.1609,-20.012,-6.3435,0.0,0.012,5.0665,-0.0526,0.8728,-0.0629,0.7299,-14.3594,-1.7664,4.886,1.7342,0.6629,0.0115,4.4555,2.391,-0.0898,-30.2348,2.9309,10.0105,-0.0711,0.0677,0.0,2021,DTST
2,14.9613,0.6921,5.7522,943150.0,0.0194,0.0,-0.0003,-2666400.0,0.5978,0.0,623000.0,0.0,,0.4839,1823150.0,0.0483,7547500.0,-181100.0,65.9061,0.095,0.2343,0.0303,929600.0,21.7178,0.4138,-0.1754,0.0059,0.0,0.4181,-0.1516,0.4478,0.0,0.0,-4143500.0,0.2893,0.4226,0.9528,0.0,0.0073,0.3876,2.0665,1.235,-0.2874,-9.2109,0.7975,20.085,0.3326,0.0,0.4486,0.017,0.5978,0.2781,-0.0564,1.085,2.9008,0.8588,0.3457,0.1715,0.0,2020,DTST
3,13.878,1.0347,5.0082,947650.0,0.0048,0.0,0.0405,-2571600.0,0.5394,6.0,611300.0,0.0,,0.5063,1750850.0,0.0453,6743500.0,-40400.0,69.7315,0.2176,0.2227,-0.0311,759300.0,29.7469,0.5581,-0.0451,-0.0064,0.1667,0.4162,0.1424,0.4992,0.0,0.0,-4516000.0,0.237,1.3248,2.4311,8.935,-0.0081,0.2993,1.9749,1.258,-0.3615,-11.7461,2.3083,-14.6734,0.2774,0.4925,0.4097,0.0049,0.5394,0.1019,-0.0126,2.3259,2.6479,1.6733,0.2496,0.2435,0.0,2019,DTST
4,18.9578,1.1699,5.2293,1038000.0,0.0079,0.0,0.0578,-2202300.0,0.5545,0.0,468800.0,0.0,,0.9512,1676200.0,0.0505,6268850.0,-69800.0,66.4773,0.1619,0.2527,0.0876,471500.0,21.8161,0.6487,-0.1159,0.0165,0.0,0.3515,-0.1606,0.6286,0.0,0.0,-3439900.0,0.1472,1.9719,3.0511,4.2892,0.0234,0.2964,1.0513,1.4177,-0.183,-7.67,2.6577,3.6873,0.2428,0.0,0.4676,0.0036,0.5545,0.0714,-0.0218,2.6808,2.7743,1.5338,0.169,0.3382,0.0,2018,DTST
5,13.6039,1.1966,3.6625,1340700.0,0.0,0.0,-0.0158,-2951400.0,0.493,0.0,606950.0,0.0,,0.48,1637050.0,0.0271,6102050.0,0.0,80.8303,0.2432,0.1421,-0.1824,478700.0,17.9651,0.59,0.0,-0.0362,-5.7143,0.4156,0.2249,0.635,0.0,0.0,-4183200.0,0.1495,3.3681,4.3003,0.0,-0.0489,0.1763,2.0833,1.3531,-0.3205,-18.6616,4.1952,-1.6031,0.1428,0.0,0.3784,0.0222,0.493,0.0328,0.0,-2.691,2.5784,3.7913,0.1495,0.2955,0.0,2017,DTST
6,9.4696,0.37,2.3468,1322650.0,0.0,0.0,-0.191,-2491900.0,1.2726,0.0,463050.0,0.0,,1.7635,-27650.0,0.0183,4601650.0,0.0,187.4388,0.1032,0.0472,37.3165,57100.0,67.2165,0.4708,0.0,-0.2353,-3.3333,0.4365,0.446,0.737,0.0,0.0,-2817700.0,0.0428,-0.9057,9.9684,0.0,-0.2242,0.3419,0.567,0.9529,-0.0471,-35.1931,7.9258,-0.0553,0.2808,0.0,1.2401,0.0111,1.2726,0.1917,0.0,-0.5285,3.286,0.0,0.0428,0.1081,0.0,2016,DTST
