,Capital Stock Change,Beginning Cash,Assets Liabilities Change (Total),Financing cash flow,Capital expenditures,Other financial activities,Stock Based Compensation,Change in Cash,Net Aquisitions,Change in inventories,Repayment/Issuance of Debt (Net),Ending Cash,Accounts Receivable Change,Exchange Rate Adjustment,Operating Cash Flow,Non Cash Items (Other),Net Cash/Marketcap,Net Income,Dividends Paid (Common),Accounts Payable Change,Change in other assets and liabilities,Investing cash flow,"Equity Repurchase (Common, Net)",Long-Term Investments Change (Net),Issuance/Purchase of Shares,Change in payables and accrued liability,Depreciation & Amortization,Investments Change (Net),Other investing activities,Other operating activities,year,ticker,Short Term Investments Change (Net),Change in intangibles (net),Dividends Paid (Total),Income tax paid,Dividends Paid (Preffered),"Equity Repurchase (Preffered, Net)",Discontinued Operations and Adjustments
3,-4380387000.0,34099940000.0,-4145023000.0,3653670000.0,-19827520000.0,-399843361.2826,,6492210000.0,-136033172.0802,-1049683000.0,14335430000.0,40592150000.0,2289834000.0,-1207454000.0,33033910000.0,1441373000.0,0.8142,19709430000.0,-6301374000.0,-702972000.0,-3746203000.0,-28987920000.0,-4380387000.0,-528484400.0,-4380387000.0,-1189099788.077,14769520000.0,2147556000.0,-11307960000.0,1258615000.0,2020,TM,2676041000.0,0.0,-6301374000.0,-935998800.0,,,
4,-4946733000.0,28976750000.0,-1903851000.0,-4867551000.0,-20595380000.0,-624303000.0,,4381884000.0,0.0,-1502118000.0,6506737000.0,33358640000.0,-2221605000.0,-374769000.0,33899370000.0,363816000.0,0.7489,17870280000.0,-6427557000.0,853983000.0,2237850000.0,-24275170000.0,-4946733000.0,7771076000.0,-4946733000.0,856612801.3,16131380000.0,5549777000.0,-9229569000.0,1437750000.0,2019,TM,-2221299000.0,0.0,-6427557000.0,-1271961000.0,,,
5,-4030362000.0,26955680000.0,519192000.0,-4042215000.0,-20840540000.0,-573876000.0,,514746000.0,-5411499.4363,-1540332000.0,6204048000.0,27470420000.0,-948915000.0,-392292000.0,37890080000.0,-5323986000.0,0.6574,23274950000.0,-6215904000.0,419832000.0,439830000.0,-32940830000.0,-4030362000.0,-4769586000.0,-4030362000.0,438256294.6261,15606300000.0,-2990457000.0,-9109836000.0,3813624000.0,2018,TM,1779129000.0,0.0,-6215904000.0,2148777000.0,,,
6,-6547070000.0,27336680000.0,1227563000.0,-3489034000.0,-21035860000.0,-594604800.0,,517517100.0,0.0,-2290832000.0,9587639000.0,27854200000.0,-2462491000.0,-125419800.0,31752400000.0,-2377954000.0,0.7546,17920960000.0,-6529605000.0,1357400000.0,5749083000.0,-27620430000.0,-6547070000.0,-5312094000.0,-6547070000.0,1305285279.9141,14981830000.0,6464800.0,-6591029000.0,0.0,2017,TM,5318559000.0,0.0,-6529605000.0,-1125598000.0,,,
7,-2517025000.0,18961820000.0,4036456000.0,-3515639000.0,-24114340000.0,-606970700.0,,5435429000.0,0.0,-571969600.0,5467767000.0,24397250000.0,-208994000.0,-1658929000.0,37025110000.0,-709741500.0,0.6412,20203950000.0,-6466380000.0,999162300.0,3864040000.0,-26415120000.0,-2517025000.0,10112210000.0,-2517025000.0,22341802800.0513,13494450000.0,1296643000.0,-3597423000.0,0.0,2016,TM,-8815563000.0,0.0,-6466380000.0,-45782800.0,,,
8,-3164834000.0,18574650000.0,1041368000.0,2785010000.0,-22864640000.0,-630584500.0,,2214822000.0,0.0,-1556109000.0,11630320000.0,20789470000.0,-632240700.0,592218900.0,33540350000.0,-2051331000.0,0.5668,21001930000.0,-5680475000.0,1365528000.0,4103181000.0,-34702760000.0,-3164834000.0,-4652768000.0,-3164834000.0,0.0,12822580000.0,-5684626000.0,-6153493000.0,725806900.0,2015,TM,-1031858000.0,0.0,-5680475000.0,-2238991000.0,,,
9,92120000.0,17182970000.0,4711080000.0,9194800000.0,-18951610000.0,-630650000.0,,3228730000.0,0.0,-1108190000.0,13693630000.0,20411700000.0,-1219260000.0,936060000.0,36460350000.0,-2694290000.0,0.6737,19916480000.0,-4590950000.0,653120000.0,2000140000.0,-43362480000.0,92120000.0,-14123480000.0,92120000.0,0.0,12508530000.0,-15133760000.0,-9277108000.0,2018550000.0,2014,TM,-1010280000.0,0.0,-4590950000.0,4385270000.0,,,
0,-10882000000.0,33105000000.0,1963000000.0,-9555000000.0,94000000.0,-254000000.0,4489000000.0,314000000.0,-176000000.0,0.0,1652000000.0,33419000000.0,0.0,514000000.0,29086000000.0,10741000000.0,-0.2171,9548000000.0,-71000000.0,,1680000000.0,-19731000000.0,-10882000000.0,-5939000000.0,-10882000000.0,1625000000.0,6834000000.0,-14834000000.0,187000000.0,,2023,BABA,-8895000000.0,-5002000000.0,-71000000.0,-1342000000.0,0.0,0.0,
1,-9641000000.0,56232000000.0,-2862000000.0,-10167000000.0,0.0,763000000.0,3782000000.0,-20368000000.0,-647000000.0,0.0,-1150000000.0,35864000000.0,0.0,-1394000000.0,22520000000.0,10374000000.0,-0.189,7427000000.0,-139000000.0,,-4409000000.0,-31327000000.0,-9641000000.0,-5322000000.0,-9641000000.0,2103000000.0,7581000000.0,-22198000000.0,-71000000.0,,2022,BABA,-16876000000.0,-8411000000.0,-139000000.0,-556000000.0,0.0,0.0,
2,-91000000.0,52807000000.0,7710000000.0,4591000000.0,56000000.0,-30000000.0,7650000000.0,1601000000.0,-2940000000.0,0.0,4784000000.0,54408000000.0,0.0,-1097000000.0,35378000000.0,-1513000000.0,-0.092,21869000000.0,-72000000.0,,-4712000000.0,-37271000000.0,-91000000.0,-10148000000.0,-91000000.0,11807000000.0,7312000000.0,-27674000000.0,-122000000.0,,2021,BABA,-17526000000.0,-6591000000.0,-72000000.0,615000000.0,0.0,0.0,
