,Beginning Cash,Assets Liabilities Change (Total),Other investing activities,Dividends Paid (Common),Accounts Payable Change,Non Cash Items (Other),Change in payables and accrued liability,Operating Cash Flow,Investments Change (Net),Capital Stock Change,Net Cash/Marketcap,Investing cash flow,Other financial activities,Dividends Paid (Total),Issuance/Purchase of Shares,Depreciation & Amortization,Financing cash flow,Long-Term Investments Change (Net),Capital expenditures,Change in Cash,Change in other assets and liabilities,Stock Based Compensation,Ending Cash,Accounts Receivable Change,Repayment/Issuance of Debt (Net),"Equity Repurchase (Common, Net)",Exchange Rate Adjustment,Net Income,Net Aquisitions,Short Term Investments Change (Net),year,ticker,Change in inventories,"Equity Repurchase (Preffered, Net)",Other operating activities,Income tax paid,Change in intangibles (net),Dividends Paid (Preffered),Discontinued Operations and Adjustments
8,131322000000.0,20632000000.0,34812000000.0,-2306000000.0,,2019000000.0,9702000000.0,30795000000.0,-43072000000.0,4282000000.0,-1.5215,-8260000000.0,-345000000.0,-2306000000.0,4282000000.0,4221000000.0,-12201000000.0,-45607000000.0,,7267000000.0,5894000000.0,78000000.0,138589000000.0,-830000000.0,-13832000000.0,-1675000000.0,-3067000000.0,5520000000.0,,2535000000.0,2014,BAC,5866000000.0,5957000000.0,-1597000000.0,,,,
9,110752000000.0,68124000000.0,-39147000000.0,-1677000000.0,,6196000000.0,-12919000000.0,92817000000.0,64205000000.0,-8673000000.0,-1.7028,25058000000.0,13996000000.0,-1677000000.0,-8673000000.0,4260000000.0,-95442000000.0,27455000000.0,,20570000000.0,35154000000.0,0.0,131322000000.0,12019000000.0,-99088000000.0,-3220000000.0,-1863000000.0,11431000000.0,,36750000000.0,2013,BAC,33870000000.0,-5453000000.0,2806000000.0,,,,
0,234230000000.0,19249000000.0,-61002000000.0,-4178000000.0,0.0,-11915000000.0,-231000000.0,27048000000.0,18526000000.0,-6033000000.0,-0.4147,-42476000000.0,-99033000000.0,-5293000000.0,-6033000000.0,6832000000.0,-59645000000.0,19230000000.0,,-75073000000.0,-2607000000.0,0.0,159157000000.0,-9492000000.0,50714000000.0,-6033000000.0,,12882000000.0,0.0,-704000000.0,2022,WFC,31579000000.0,0.0,,,0.0,-1115000000.0,
1,264612000000.0,-25012000000.0,4179000000.0,-2422000000.0,0.0,-17641000000.0,1467000000.0,-11525000000.0,-11798000000.0,-15383000000.0,-0.9077,-7619000000.0,78221000000.0,-3627000000.0,-15383000000.0,7890000000.0,-11238000000.0,-11247000000.0,,-30382000000.0,11817000000.0,0.0,234230000000.0,-57630000000.0,-70449000000.0,-14464000000.0,,23238000000.0,0.0,-551000000.0,2021,WFC,19334000000.0,-919000000.0,,,0.0,-1205000000.0,
2,141250000000.0,-27694000000.0,57423000000.0,-4852000000.0,0.0,17864000000.0,1936000000.0,2051000000.0,65131000000.0,-3901000000.0,-0.814,122554000000.0,81524000000.0,-6142000000.0,-3901000000.0,8219000000.0,-1243000000.0,28663000000.0,,123362000000.0,-13475000000.0,1766000000.0,264612000000.0,-59369000000.0,-72724000000.0,-3415000000.0,,3662000000.0,-102000000.0,36468000000.0,2020,WFC,43214000000.0,-486000000.0,,,0.0,-1290000000.0,
3,173287000000.0,-16305000000.0,-10924000000.0,-8198000000.0,0.0,-3744000000.0,2712000000.0,6730000000.0,-18707000000.0,-26083000000.0,-0.4017,-29631000000.0,35426000000.0,-9589000000.0,-26083000000.0,6573000000.0,-9136000000.0,3226000000.0,,-32037000000.0,4071000000.0,2274000000.0,141250000000.0,-45154000000.0,-8890000000.0,-24533000000.0,,20206000000.0,-513000000.0,-21933000000.0,2019,WFC,22066000000.0,-1550000000.0,,,0.0,-1391000000.0,
4,215947000000.0,9186000000.0,-1291000000.0,-7692000000.0,0.0,-1582000000.0,-865000000.0,36073000000.0,-6463000000.0,-22482000000.0,-0.427,-7754000000.0,-48744000000.0,-9314000000.0,-22482000000.0,5593000000.0,-70979000000.0,-5279000000.0,,-42660000000.0,9771000000.0,2255000000.0,173287000000.0,-34774000000.0,9561000000.0,-20332000000.0,,22876000000.0,-472000000.0,-1184000000.0,2018,WFC,35054000000.0,-2150000000.0,,,0.0,-1622000000.0,
5,221400000000.0,-12969000000.0,11857000000.0,-7480000000.0,0.0,3722000000.0,4837000000.0,18619000000.0,-25009000000.0,-8413000000.0,-0.4239,-13152000000.0,29809000000.0,-9109000000.0,-8413000000.0,5406000000.0,-10920000000.0,-3512000000.0,,-5453000000.0,-5353000000.0,2046000000.0,215947000000.0,-45958000000.0,-23207000000.0,-9090000000.0,,22460000000.0,-320000000.0,-21497000000.0,2017,WFC,33505000000.0,677000000.0,,,0.0,-1629000000.0,
6,239520000000.0,-27178000000.0,-29258000000.0,-7472000000.0,0.0,1171000000.0,-211000000.0,1008000000.0,-82077000000.0,-5094000000.0,-0.3749,-141919000000.0,82472000000.0,-9038000000.0,-5094000000.0,4970000000.0,122791000000.0,-66330000000.0,,-18120000000.0,-12004000000.0,1945000000.0,221400000000.0,-78272000000.0,54451000000.0,-7195000000.0,,22045000000.0,-30584000000.0,-15747000000.0,2016,WFC,63309000000.0,2101000000.0,,,0.0,-1566000000.0,
7,19571000000.0,-6299000000.0,-55941000000.0,-7400000000.0,0.0,-4361000000.0,-1503000000.0,15904000000.0,-51291000000.0,-4678000000.0,-0.5534,-107235000000.0,54668000000.0,-8826000000.0,-4678000000.0,3288000000.0,90871000000.0,-39425000000.0,,-460000000.0,-2457000000.0,1958000000.0,19111000000.0,-45093000000.0,49707000000.0,-7650000000.0,,23276000000.0,-3000000.0,-11866000000.0,2015,WFC,42754000000.0,2972000000.0,,,0.0,-1426000000.0,
