,Net Aquisitions,Dividends Paid (Total),Change in other assets and liabilities,Other financial activities,Repayment/Issuance of Debt (Net),Capital Stock Change,Financing cash flow,Beginning Cash,Investments Change (Net),Net Income,Change in inventories,Stock Based Compensation,Dividends Paid (Common),Ending Cash,Issuance/Purchase of Shares,Assets Liabilities Change (Total),Accounts Receivable Change,Change in Cash,Non Cash Items (Other),Operating Cash Flow,Other investing activities,"Equity Repurchase (Common, Net)",Net Cash/Marketcap,Change in payables and accrued liability,Depreciation & Amortization,Short Term Investments Change (Net),Investing cash flow,Accounts Payable Change,Capital expenditures,Long-Term Investments Change (Net),Change in intangibles (net),year,ticker,Income tax paid,Exchange Rate Adjustment,Other operating activities,Discontinued Operations and Adjustments,"Equity Repurchase (Preffered, Net)",Dividends Paid (Preffered)
4,-4027000000.0,-2998000000.0,-402000000.0,-45000000.0,-973000000.0,-7102000000.0,-11118000000.0,11204000000.0,-249000000.0,12610000000.0,417000000.0,1227000000.0,-2998000000.0,4292000000.0,-7102000000.0,-956000000.0,-652000000.0,-6912000000.0,-6855000000.0,8880000000.0,-2000000.0,-7102000000.0,0.1426,6000000.0,4081000000.0,,-4674000000.0,-325000000.0,-396000000.0,-249000000.0,,2018,AVGO,,,,,0.0,
5,-30000000.0,-1745000000.0,-692000000.0,-40000000.0,3758000000.0,257000000.0,2230000000.0,3097000000.0,-7000000.0,1784000000.0,-39000000.0,921000000.0,-1745000000.0,11204000000.0,257000000.0,-986000000.0,-267000000.0,8107000000.0,1016000000.0,6551000000.0,-9000000.0,257000000.0,0.0594,109000000.0,4737000000.0,,-674000000.0,-97000000.0,-628000000.0,-7000000.0,,2017,AVGO,,,,,0.0,
6,-9157000000.0,-750000000.0,-218000000.0,-34000000.0,8193000000.0,295000000.0,7704000000.0,1822000000.0,46000000.0,-1861000000.0,996000000.0,679000000.0,-750000000.0,3097000000.0,295000000.0,483000000.0,-491000000.0,1275000000.0,1711000000.0,3411000000.0,-11000000.0,295000000.0,0.1692,163000000.0,3078000000.0,,-9840000000.0,33000000.0,-718000000.0,46000000.0,,2016,AVGO,,,,,0.0,
7,256000000.0,-408000000.0,52000000.0,125000000.0,-1817000000.0,241000000.0,-1859000000.0,1604000000.0,-14000000.0,1364000000.0,62000000.0,232000000.0,-408000000.0,1822000000.0,241000000.0,-36000000.0,-187000000.0,218000000.0,6000000.0,2318000000.0,0.0,241000000.0,0.0627,8000000.0,984000000.0,,-241000000.0,29000000.0,-483000000.0,-14000000.0,,2015,AVGO,,,,,0.0,
8,-5511000000.0,-284000000.0,95000000.0,-87000000.0,5588000000.0,112000000.0,5329000000.0,985000000.0,35000000.0,263000000.0,193000000.0,163000000.0,-284000000.0,1604000000.0,112000000.0,251000000.0,-70000000.0,619000000.0,22000000.0,1175000000.0,0.0,112000000.0,0.1804,20000000.0,639000000.0,,-5885000000.0,13000000.0,-409000000.0,35000000.0,,2014,AVGO,,,,,0.0,
9,-414000000.0,-198000000.0,-42000000.0,23000000.0,0.0,6000000.0,-169000000.0,1084000000.0,-2000000.0,552000000.0,-55000000.0,77000000.0,-198000000.0,985000000.0,6000000.0,-69000000.0,-26000000.0,-99000000.0,51000000.0,722000000.0,0.0,6000000.0,-0.0877,32000000.0,188000000.0,,-652000000.0,22000000.0,-236000000.0,-2000000.0,,2013,AVGO,,,,,0.0,
0,-27721000000.0,-3668000000.0,1098000000.0,-55000000.0,12944000000.0,-1311000000.0,7910000000.0,21383000000.0,-68000000.0,8503000000.0,0.0,3547000000.0,-3668000000.0,9765000000.0,-1311000000.0,513000000.0,-151000000.0,-11618000000.0,2041000000.0,17165000000.0,-55000000.0,-1311000000.0,0.2842,-281000000.0,6108000000.0,-68000000.0,-36484000000.0,,-8695000000.0,0.0,,2023,ORCL,-153000000.0,-209000000.0,,,,
1,-148000000.0,-3457000000.0,18000000.0,-560000000.0,-8250000000.0,-16859000000.0,-29126000000.0,30098000000.0,15879000000.0,6717000000.0,0.0,2613000000.0,-3457000000.0,21383000000.0,-16859000000.0,-1987000000.0,-874000000.0,-8715000000.0,1687000000.0,9539000000.0,-560000000.0,-16859000000.0,0.2816,-733000000.0,3122000000.0,15879000000.0,11220000000.0,,-4511000000.0,6363000000.0,,2022,ORCL,-398000000.0,-348000000.0,,,,
2,-41000000.0,-3063000000.0,1027000000.0,196000000.0,12303000000.0,-19814000000.0,-10378000000.0,37239000000.0,-10922000000.0,13746000000.0,142000000.0,1837000000.0,-3063000000.0,30098000000.0,-19814000000.0,-148000000.0,333000000.0,-7141000000.0,-627000000.0,15887000000.0,196000000.0,-19814000000.0,0.1637,-23000000.0,2916000000.0,-10922000000.0,-13098000000.0,,-2135000000.0,1036000000.0,,2021,ORCL,-1485000000.0,448000000.0,,,,
3,-124000000.0,-3070000000.0,443000000.0,-133000000.0,15388000000.0,-18317000000.0,-6132000000.0,20514000000.0,11531000000.0,10135000000.0,211000000.0,1590000000.0,-3070000000.0,37239000000.0,-18317000000.0,-942000000.0,-445000000.0,16725000000.0,978000000.0,13139000000.0,-133000000.0,-18317000000.0,0.1709,-496000000.0,2968000000.0,-1044000000.0,9843000000.0,,-1564000000.0,12575000000.0,,2020,ORCL,-444000000.0,-125000000.0,,,,
4,-363000000.0,-2932000000.0,567000000.0,-136000000.0,-4500000000.0,-34488000000.0,-42056000000.0,21620000000.0,28580000000.0,11083000000.0,320000000.0,1653000000.0,-2932000000.0,20514000000.0,-34488000000.0,-260000000.0,-272000000.0,-1106000000.0,809000000.0,14551000000.0,-136000000.0,-34488000000.0,0.0753,-102000000.0,2919000000.0,11281000000.0,26557000000.0,,-1660000000.0,17299000000.0,,2019,ORCL,-453000000.0,-158000000.0,,,,
